Date,Price,Open,High,Low,Vol.,Change %
1/2/2004,1108.5,"1,111.90","1,118.80","1,105.10",-,-0.31%
1/5/2004,1122.2,"1,108.50","1,122.20","1,108.50",-,1.24%
1/6/2004,1123.7,"1,122.20","1,124.50","1,118.40",-,0.13%
1/7/2004,1126.3,"1,123.70","1,126.30","1,116.50",-,0.23%
1/8/2004,1131.9,"1,126.30","1,131.90","1,124.90",-,0.50%
1/9/2004,1121.9,"1,131.90","1,131.90","1,120.90",-,-0.88%
1/12/2004,1127.2,"1,121.90","1,127.80","1,120.90",-,0.47%
1/13/2004,1121.2,"1,127.20","1,129.10","1,115.20",-,-0.53%
1/14/2004,1130.5,"1,121.20","1,130.80","1,121.20",-,0.83%
1/15/2004,1132,"1,130.50","1,137.10","1,124.50",-,0.13%
1/16/2004,1139.8,"1,132.00","1,139.80","1,132.00",-,0.69%
1/20/2004,1138.8,"1,139.80","1,142.90","1,135.40",-,-0.09%
1/21/2004,1147.6,"1,138.80","1,149.20","1,134.60",-,0.77%
1/22/2004,1143.9,"1,147.60","1,150.50","1,143.00",-,-0.32%
1/23/2004,1141.5,"1,143.90","1,150.30","1,136.80",-,-0.21%
1/26/2004,1155.4,"1,141.50","1,155.40","1,141.00",-,1.22%
1/27/2004,1144,"1,155.40","1,155.40","1,144.00",-,-0.99%
1/28/2004,1128.5,"1,144.00","1,149.10","1,126.50",-,-1.35%
1/29/2004,1134.1,"1,128.50","1,134.40","1,122.40",-,0.50%
1/30/2004,1131.1,"1,134.10","1,134.20","1,127.70",-,-0.26%
2/2/2004,1135.3,"1,131.10","1,142.60","1,127.90",-,0.37%
2/3/2004,1136,"1,135.30","1,137.40","1,131.30",-,0.06%
2/4/2004,1126.5,"1,136.00","1,136.00","1,124.70",-,-0.84%
2/5/2004,1128.6,"1,126.50","1,131.20","1,124.40",-,0.19%
2/6/2004,1142.8,"1,128.60","1,142.80","1,128.40",-,1.26%
2/9/2004,1139.8,"1,142.80","1,144.50","1,139.20",-,-0.26%
2/10/2004,1145.5,"1,139.80","1,147.00","1,138.70",-,0.50%
2/11/2004,1157.8,"1,145.50","1,158.90","1,142.30",-,1.07%
2/12/2004,1152.1,"1,157.80","1,157.80","1,151.40",-,-0.49%
